제목,주소,키워드,종목코드,날짜
"[특징주] 그동안 버티던 '배당주' SK텔레콤, 부진한 실적에 하락",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000818.html,"3 분기 잠정
오전 9 시
SK 텔레콤 그동안
그동안 고배 당주
고배 당주 인식
인식 비교
실적 부진
부진 소식
소식 외국
외국 증권사",034730,2018-10-30
"SK네트웍스‧현대차, 사람과 車 함께 충전하는 공간 만든다",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103101775.html,"미래 친환경
고객 편의
관계자 모빌리티
충전 소 전기차
전기차 시대
시대 이동
이동 고객
편의 선제
선제 제 고하
지역 주민",001740,2018-10-31
"SK케미칼, 3분기 영업이익 309억원…전기 대비 194% 증가",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110202511.html,"분기 대비
SK 케미칼 ( 006120 ) 은 3 분기
3 분기 영업 이익
영업 이익 309 억원
309 억원 직전
2 일
매출",006120,2018-11-02
"SK디앤디, 3분기 영업이익 97억원…전년比 68% 늘어",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201846.html,"전년 동기
동기 대비
SK 디 앤디 ( 210980 ) 3 분기
3 분기 영업 이익
영업 이익 97 억원
2 일
매출
매출 1149 억원",210980,2018-11-02
"SK이노 “배터리 사업, 2020년 이후 다른 모습 보일 것”",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201371.html,"전기차 배터리
이후 다른
관계자 시장 상황
시장 상황 급변
급변
배터리 사업
사업 흑자
흑자 전환
일정
다른 측면",096770,2018-11-02
"SK이노베이션, 3분기 영업이익 8359억원…비정유 부문이 실적 견인(종합)",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201039.html,"동기 대비
3 년 연속
연속 3 조원
최 위해
유가 상승 폭
상승 폭 축소
축소
것 보고
결과
사업 고루",096770,2018-11-02
"SK이노베이션, 3분기 영업이익 8358억원…전년比 12.7% 감소(1보)",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110200925.html,"전년 동기
동기 대비
SK 이노베이션 ( 096770 ) 은 3 분기
3 분기 영업 이익
매출
7 %
2 일",096770,2018-11-02
[마켓뷰] 中증시 약세에 코스피도 뒷심부족…기관 이틀째 '팔자',http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102679.html,"경기 회복
회복 대한
연구원 당분간
코스피지수 2000 선
2000 선 전후
11 월 초 중순
초 중순 한국
증시 안전판
안전판 확보
이경민 대신 증권",096770,2018-11-01
"SK이노‧E&S;, 울산공장에 전력수요 관리용 ESS 구축",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102459.html,"전력 수요 관리 용
SK E & S ;
정병 선 SK 에너지
용량 ESS 를
전력 요금 절감
절감 통한
며 향후
전력 피크 제
피크 제 운영
시기",096770,2018-11-01
[마켓뷰] 트럼트 트위터 한 줄에 시총 '56조원' 급증,http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110202378.html,"김영환
김영환 KB 증권
KB 증권 연구원
연구원 전날
증시 종료
종료 후
애플 4 분기
4 분기 매출
시간 외
6 %",017670,2018-11-02
아이폰XS·XS 맥스 통신 3사 공식 개통 시작…사은품·할인혜택 등 다양,http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110201284.html,"고객 중
추첨 통해
기존
기존 선착순
선착순 방식
행사 추첨
추첨 경품
경품 맥북
맥북 프로 ,
애플 워치 4 , 아이패드 ,",017670,2018-11-02
[마켓뷰] 中증시 약세에 코스피도 뒷심부족…기관 이틀째 '팔자',http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102679.html,"경기 회복
회복 대한
연구원 당분간
코스피지수 2000 선
2000 선 전후
11 월 초 중순
초 중순 한국
증시 안전판
안전판 확보
이경민 대신 증권",017670,2018-11-01
"[특징주] 그동안 버티던 '배당주' SK텔레콤, 부진한 실적에 하락",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000818.html,"3 분기 잠정
오전 9 시
SK 텔레콤 그동안
그동안 고배 당주
고배 당주 인식
인식 비교
실적 부진
부진 소식
소식 외국
외국 증권사",017670,2018-10-30
대외 악재에 코스피지수 1985선까지 하락…엿새째 연중 최저점 경신,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000728.html,"이경민 대신 증권
대신 증권 연구원
기업 3 분기
3 분기 실적
실적 저조
저조 성적
성적 보이
하락 며 미국
미국 상무부
상무부 중국",017670,2018-10-30
"코스피지수 2050선 회복…\무역분쟁 완화 기대감이 호재\""""",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110200866.html,"트럼프 대통령
시진핑 주석
1 일
주석 트럼프
대통령 통화
합의 공동
관계
촉진 바란 고
완화 것
밤 사이 ( 미국",000660,2018-11-02
"코스피지수 상승 출발…\페이스북 호실적·북미 고위회담이 호재\""""",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110100894.html,"서상영 증권
상승 마감 덕분
덕분 한국
증시 투자
투자 심리
심리 개선
개선 다음
주 미국
미국 북한
회담 개최",000660,2018-11-01
"'메모리 위기론' 진화나선 삼성·하이닉스 \내년 2분기에 다시 공급부족\""""",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103101998.html,"3 D 낸드
전무 31 일
31 일 3 분기
뒤 이어진
4 분기 , 내년
1 분기 경우
경우 계절
수 며
2 분기 신규
출시 고 용량",000660,2018-11-01
美 증시 호재에도 코스피지수 하락…장 중 2020선 반짝 회복,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103100877.html,"증권 연구원
연구원 트럼프
트럼프 대통령
대통령 중국
중국
합의
미국
반발
유입 고
기관",000660,2018-10-31
