제목,주소,키워드,종목코드,날짜
[마켓뷰] 게걸음 걷는 코스피...미중 무역협상 재개에도 '찔끔',http://biz.chosun.com/site/data/html_dir/2018/08/17/2018081702478.html,"중국
심리 개선
개선 막판
막판 긴장감
긴장감 조성하
조성하 미국
압박
압박 상승 폭
무역 협상 결과
결과",035760,2018-08-17
[마켓뷰] 코스피 한때 2220도 깨졌으나…미중 협상재개 소식에 낙폭 줄여,http://biz.chosun.com/site/data/html_dir/2018/08/16/2018081602639.html,"재개 소식
소식 하락 폭
하락 폭 축소 며
축소 며 다만
다만 중국
중국 증시
증시 텐센트
텐센트 부진
부진 실적
실적 발표",035760,2018-08-16
[마켓뷰] 미·터키 고위급 회담 소식에 한숨돌린 韓증시,http://biz.chosun.com/site/data/html_dir/2018/08/14/2018081402040.html,"장 초반
터키 억류
억류 미국
미국 목사
터키 산 철강
관세 2 배
뒤 첫
이경민 대신 증권
연구원 터키
아르헨티나 환율",035760,2018-08-14
[마켓뷰] 가뜩이나 韓만 부진한데…모건스탠리 보고서 '쇼크',http://biz.chosun.com/site/data/html_dir/2018/08/10/2018081002509.html,"이재선
이재선 KTB 투자 증권
KTB 투자 증권 애널 리스트
애널 리스트 코스피
코스피 기술
기술 반등 ,
반등 , 그
그 이상
이상 견인
견인 재료",035760,2018-08-10
"코스피 하락 출발…갤노트 공개한 삼성전자, 3% 가까이 떨어져",http://biz.chosun.com/site/data/html_dir/2018/08/10/2018081001055.html,"내년 정부
정부 예산안
예산 지난해
지난해 정부
규모
이상 편성 ,
편성 , 도시
혁신 SOC
SOC 예산
예산 금년",035760,2018-08-10
"정부 일회용품 단속서 빠진 편의점 \친환경 포장 동참합니다\""""",http://biz.chosun.com/site/data/html_dir/2018/08/07/2018080702411.html,"업계 관계자
스타벅스 리 워드
리 워드 회원
발급 ,
매장
용기 코코넛
코코넛 껍질
껍질
용기 글씨
색상",035760,2018-08-07
[투자노트] 희망이 별로 엿보이지 않는 요즘 증시,http://biz.chosun.com/site/data/html_dir/2018/06/21/2018062100628.html,"이은택 애널 리스트
애널 리스트 보고서
등 )
반등 환율
위기 설
시진핑 화해 야만
오늘
모습
낼 수
, 또",035760,2018-06-21
'CJ ENM' 7월1일 출범...합병반대 주주에 5039억원 지급,http://biz.chosun.com/site/data/html_dir/2018/06/20/2018062002702.html,"E & M ; 이 보유
보유 TV ,
TV , 모바일 ,
행태 분석 데이터
분석 데이터 CJ 오 쇼핑
CJ 오 쇼핑 보유
맞춤 콘텐츠
콘텐츠 브랜드
브랜드 상품
상품 판매",035760,2018-06-20
[특징주] CJ오쇼핑·CJ E&M; 합병 확정 소식에 강세,http://biz.chosun.com/site/data/html_dir/2018/06/20/2018062000763.html,"CJ E & M ; 은
회사 지난
이사회
합병 계약
계약 해제
해제 불 행사
조달 건
337 만 4766 주 ), CJ 오 쇼핑
83 만 3507 주 ) 규모
규모 주식매수청구권",035760,2018-06-20
"CJ오쇼핑·E&M; 매수청구 마감, 일부 주주 반대에도 합병 성사될듯",http://biz.chosun.com/site/data/html_dir/2018/06/18/2018061802073.html,"두 회사
회사 주가
E & M ; 이 보유
보유 TV ,
TV , 모바일 ,
행태 분석 데이터
분석 데이터 CJ 오 쇼핑
CJ 오 쇼핑 보유
맞춤 콘텐츠
콘텐츠 브랜드",035760,2018-06-18
"'운명의 6일' CJ오쇼핑·E&M;, 헬로 매각카드 꺼내나",http://biz.chosun.com/site/data/html_dir/2018/06/07/2018060702478.html,"매각 경우
합병 시너지
회계사 커머스
커머스 미디어
미디어 합병
시너지 대한
대한 의문
의문 계속
계속 것
것 며",035760,2018-06-07
"'D-10' 매수청구價 밑도는 CJ오쇼핑, 자사주 전량 소각 카드(종합)",http://biz.chosun.com/site/data/html_dir/2018/05/31/2018053101343.html,"E & M ; 과 오 쇼핑
오 쇼핑 기존
기존 주주
주주 중
중 10 %
10 % 이상만
이상만 주식 매수
청구 합병
상황
자 사주 소각",035760,2018-05-31
"CJ오쇼핑, 자사주 전량 소각 결정 '420억원 규모'",http://biz.chosun.com/site/data/html_dir/2018/05/31/2018053101272.html,"안건 별
의결권 자문 기관
투명
주주 친
친 정책
정책 일환 ,
사유 , 안건
심의
이사회 록 기록
회사 전체",035760,2018-05-31
합병 한달 남았는데...매수청구가 밑도는 'CJ오쇼핑·E&M;' 속앓이,http://biz.chosun.com/site/data/html_dir/2018/05/24/2018052402696.html,"E & M ; 이 보유
보유 TV ,
TV , 모바일 ,
행태 분석 데이터
분석 데이터 CJ 오 쇼핑
맞춤 콘텐츠
콘텐츠 브랜드
브랜드 상품
상품 판매
판매 수",035760,2018-05-25
"CJ오쇼핑, 동유럽 홈쇼핑 업체 인수설에 \결정된 사항 없다\""""",http://biz.chosun.com/site/data/html_dir/2018/04/24/2018042401325.html,"CJ 오 쇼핑 ( 035760 ) 은 동유럽
홈쇼핑 업체 스튜디오
모 데르나 ( Studio
( Studio Moderna )
Moderna ) 인수
인수 추진 설
추진 설 대한
답변 요구
검토
검토 진행중",035760,2018-04-24
"美반도체 흔들리자 삼성전자 휘청…코스피, 사흘만에 약세",http://biz.chosun.com/site/data/html_dir/2018/04/20/2018042000875.html,"증시 움직임
움직임 영향
약세 직접
직접 원인
257 억원 , 1308 억원
1308 억원 순 매수
하락 부추 기고
증권 연구원
연구원 미국
미국 반도체",035760,2018-04-20
[마켓뷰] 시진핑 개혁·개방 발언에 살아난 韓 증시,http://biz.chosun.com/site/data/html_dir/2018/04/10/2018041002135.html,"시 주석
팀 시진핑
주석 발언
발언 중
대해 정면
정면 반박
내용 꽤
꽤 며
미국 화해
것 ,",035760,2018-04-10
"오마이걸, 아이콘, 슈퍼주니어...TV홈쇼핑 점령한 아이돌",http://biz.chosun.com/site/data/html_dir/2018/04/10/2018041001011.html,"관계자 최근
그룹 주
1 시 ) 첫
후 추가
정도
워너 두
론칭
CJ 오 쇼핑 상품 기획 ( MD )
상품 기획 ( MD ) 기획
기획 패키지 ,",035760,2018-04-10
아들 스튜디오드래곤 '용' 됐는데...대주주 CJ E&M;은 절룩,http://biz.chosun.com/site/data/html_dir/2018/01/23/2018012302417.html,"모회사 CJ
김현 용
동영상 스트리밍
스트리밍 업체 )
업체 ) 한국
한국 진출
진출 3 년
3 년 차
차 올해
올해 본격",035760,2018-01-24
'3세 경영' 초석 다지는 CJ...'뉴 오쇼핑' 통해 지배력 확대,http://biz.chosun.com/site/data/html_dir/2018/01/18/2018011802359.html,"통해 미디어
경후 상무
이선호 과장
유통업
과장 대학원
대학원 휴학
휴학 귀국
귀국 현재
경영 수업
상무 30",035760,2018-01-19
"\CJ E&M;, CJ오쇼핑과 시너지 어려워...콘텐츠 역량 강화는 긍정적\"" - 신한""",http://biz.chosun.com/site/data/html_dir/2018/01/18/2018011800552.html,"그룹 콘텐츠
콘텐츠 역량
홍 세종
연구원 18 일
18 일 중장 기적
폭 시너지
전략 방안
방안 확인
확인 고
이번 합병",035760,2018-01-18
"CJ오쇼핑·E&M; 합병... \미디어·커머스 시너지로 글로벌 공략\""(재종합)""",http://biz.chosun.com/site/data/html_dir/2018/01/17/2018011702467.html,"부문
이유 관련
관련 급변
급변 미디어
산업 내
커머스 역량
역량 집약
집약 며
며 디지털
모바일 , 오프라인",035760,2018-01-17
"CJ오쇼핑, CJ E&M; 흡수합병... 합병 후 올해 매출 목표 4조4000억원(종합)",http://biz.chosun.com/site/data/html_dir/2018/01/17/2018011702007.html,"미디어 커머스
E & M ; 관계자
관계자 합병
합병 이유
이유 관해
관해 급변
급변 미디어
산업 내
양사 커머스
커머스 역량",035760,2018-01-17
"CJ오쇼핑, CJ E&M; 흡수합병(1보)",http://biz.chosun.com/site/data/html_dir/2018/01/17/2018011701923.html,"CJ 오 쇼핑 ( 035760 ) 은 CJ
흡수 합병
합병 17 일
합병 비율
1 CJ
CJ E & M ;",035760,2018-01-17
"\팬심 잡아라\"" 아이돌 잡기 혈안된 유통업계…\""상술 지나쳐\"" 지적도""",http://biz.chosun.com/site/data/html_dir/2018/01/04/2018010402829.html,"기존
기존 아이돌
마케팅 방식
아이돌 얼굴
제품 증정
증정 제품
제품 광고
모델 아이돌
아이돌 발탁
발탁 것",035760,2018-01-05
"이재현 '그레이트 CJ' 본격 시동, 올해 M&A; 속도낸다",http://biz.chosun.com/site/data/html_dir/2018/01/04/2018010402766.html,"회장 경영
CJ 그룹 관계자
글로벌 M & A ;
경영 복귀
복귀 후
후 주요
계 열사 점검
점검 현장
현장 시찰
시찰 등",035760,2018-01-05
"[미래투자포럼] 박소연 \친환경 등 세가지 테마에 주목하라\""""",http://biz.chosun.com/site/data/html_dir/2018/10/24/2018102402019.html,"볼 수
외국인 자금
공급망 구조
며 만약
수 고
A 주가 MSCI
반사 이익 볼
상황
연구 위원 최저임금
올해",000120,2018-10-24
"[마켓뷰] 코스피, 삼성전자 好실적에도 맥 못췄다",http://biz.chosun.com/site/data/html_dir/2018/10/05/2018100503070.html,"전 거래 일보
10 년물 국채 금리
반면
연구원 미국
국채 금리 안정
안정
역시 양호
양호 흐름
흐름 보이
보이 며",000120,2018-10-05
中 관세부과 일촉즉발…코스피 하락 출발,http://biz.chosun.com/site/data/html_dir/2018/09/17/2018091700812.html,"중국산 제품
224 조원 ) 규모
규모 중국산
제품 관세
관세 10 % 를
10 % 를 부과
것 라며 관세
관세 기존
이유
증권 연구원",000120,2018-09-17
"CJ그룹, 협력업체 결제대금 5000억원 조기 지급",http://biz.chosun.com/site/data/html_dir/2018/09/12/2018091200764.html,"결제 대금
관계자 협력 업체
상생 차원
차원 납품
납품 결제
중소 협력 사
협력 사 일시
일시 가중
가중 자금
자금 부담",000120,2018-09-12
“올해 기점으로 택배비 오른다…택배 업종 영업익 증가 전망” - 삼성,http://biz.chosun.com/site/data/html_dir/2018/09/12/2018091200627.html,"신 승진 삼성 증권
삼성 증권 연구원
연구원 하반기
하반기 매출
매출 상위
점유 율 확대 전략
확대 전략 수익
수익 중심
수 며
며 판",000120,2018-09-12
"CJ대한통운, 추석 비상근무 돌입…“선물 트렌드 변화에 물량 급증 예상”",http://biz.chosun.com/site/data/html_dir/2018/09/09/2018090900583.html,"CJ 대한 통운 관계자
관계자 연휴
연휴
가능성
상품
여유
며 홈쇼핑 ,
홈쇼핑 , 온라인
온라인 등
공지 배송",000120,2018-09-09
"100대 상장사, 올해 비정규직 줄고 정규직 늘어",http://biz.chosun.com/site/data/html_dir/2018/09/09/2018090900391.html,"직원 작년
작년 말
올해 6 월
6 월 말
정부 고용
고용 촉진
채용
인상 등
등 여파
직원 수",000120,2018-09-09
"[마켓뷰] 이번엔 日때린 트럼프, 반도체는 고점 논란",http://biz.chosun.com/site/data/html_dir/2018/09/07/2018090702316.html,"김환
김환 NH 투자 증권
미국 우방 국
우방 국 일본
일본 대해
입장 세
세 번
일본 보호무역
보호무역 가능성
가능성 배제",000120,2018-09-07
"\드림택배 운영 중단, 상위 업체 점유율 상승 예상\"" - 미래""",http://biz.chosun.com/site/data/html_dir/2018/09/07/2018090700789.html,"신규 택배
점유 율 상승
연구원 쿠팡
물류
수 며
며 상위
상위 업체
가격
가격 경쟁력
시장 점유 율",000120,2018-09-07
"[마켓뷰] 2천억 관세 폭탄 눈앞…외인·기관, 마감 1시간 남기고 투매",http://biz.chosun.com/site/data/html_dir/2018/09/05/2018090502229.html,"연구원 미국
점 한국
증시 부담
부과 대한
기관 동시
동시 매물
낙폭
관세 부과
지수 하락
등 아시아",000120,2018-09-05
[마켓뷰] 협상 성과 없었지만…그래도 1년만에 '6일 연속 상승'한 코스피,http://biz.chosun.com/site/data/html_dir/2018/08/24/2018082402116.html,"94 %) 경쟁 사
카메라 모듈
모듈 및
및 스마트폰
스마트폰 디스플레이
디스플레이 공장
공장
증권 연구원
연구원 이번
협상 실무 진",000120,2018-08-24
[마켓뷰] 나흘 연속 올랐지만 아직 배고픈 코스피,http://biz.chosun.com/site/data/html_dir/2018/08/22/2018082202266.html,"증권 연구원
연구원 미국
협상 마치
마치 유럽
유럽 협상
협상 것
며 대화
대화 국면
국면 당분간
당분간 관세",000120,2018-08-22
"[마켓뷰] 韓 증시, 중국 강경론 우려에 또 '전강후약'",http://biz.chosun.com/site/data/html_dir/2018/08/20/2018082002245.html,"미국 터키
터키 은행
은행 대한
대한 조사
조사 무마
무마 조건
조건 미국인
미국인 목사
목사 석방
석방 터키",000120,2018-08-20
"[마켓뷰] 터키발 금융불안에 바이오 매도 리포트까지…코스피, 15개월만에 최저",http://biz.chosun.com/site/data/html_dir/2018/08/13/2018081302067.html,"일본 , 대만 ,
센터 오늘
터키 사태
사태 리스크
off ) 시작
시작
상황
레 제프 타이 이프
타이 이프 에르도안
에르도안 터키",000120,2018-08-13
"CJ대한통운, 부회장으로 박근희 삼성생명 고문 영입",http://biz.chosun.com/site/data/html_dir/2018/08/10/2018081001993.html,"삼성 생명 대표이사
삼성 온
경영 전반
전반 문과
문과 CJ 그룹
CJ 그룹 대외 활동
대외 활동 총괄
대표이사 부회장
이후
이후 삼성 그룹",000120,2018-08-10
[비즈톡톡] '사회적 가치' 발굴 머리 싸매는 SK 계열사,http://biz.chosun.com/site/data/html_dir/2018/08/09/2018080902519.html,"환경 보호 ,
기업 주주 ,
등 직접
가치 외
외 일반
일반 대중 ,
정부 등
속 안정
안정 성장
성장 고",000120,2018-08-10
"CJ제일제당, 올 2분기 두자릿수 성장…바이오·식품사업이 실적 견인",http://biz.chosun.com/site/data/html_dir/2018/08/08/2018080802090.html,"관계자 바이오
부문 사료 용
등 핵심
핵심 제품
성장 면서
면서 바이오
부문 경우 ,
시황
덕분
크게 고",000120,2018-08-08
"CJ대한통운, 2분기 영업이익 571억원…전년比 7.7% 감소",http://biz.chosun.com/site/data/html_dir/2018/08/08/2018080801923.html,"전년 동기
동기 대비
관계자 글로벌
글로벌 매출
성장 등
등 물류
물류 매출
성장 지속 며
지속 며 최저임금
최저임금 영향 ,",000120,2018-08-08
"[조회답변] CJ대한통운 \해외 물류업체와 투자기회 검토\""""",http://biz.chosun.com/site/data/html_dir/2018/07/30/2018073001177.html,"CJ 대한 통운 ( 000120 ) 은 한국 거래소
한국 거래소 독일
독일 물류 회사
물류 회사 슈넬레케
슈넬레케 인수
인수 추진
요구 당사
당사 글로벌
글로벌 물류
기업 도약",000120,2018-07-30
"[조회공시] CJ대한통운, 독일 물류회사 인수 추진 보도 관련",http://biz.chosun.com/site/data/html_dir/2018/07/30/2018073000811.html,"최근 독일
독일 물류 회사
물류 회사 슈넬레케
슈넬레케 인수
인수 추진
날 오후",000120,2018-07-30
"CJ대한통운‧노조, 대체배송 중단",http://biz.chosun.com/site/data/html_dir/2018/07/21/2018072100589.html,"정상 참여 ,
참여 , 반품
반품 및
집 등
대다수
방식
김종철
일부 택배 기사
피해 및
및 고객",000120,2018-07-21
"[르포] 택배노조, 7시간 공짜노동 한다는데…직접 가보니",http://biz.chosun.com/site/data/html_dir/2018/07/20/2018072000760.html,"이번 파업
1 만 8000 명
중 노조
노조 파업
동참 사람
사람 180 명
이유 공감
오히려 노조
파업 화주
일반",000120,2018-07-20
CJ 對 노조 '공짜노동' 대립에 영남지역 택배亂,http://biz.chosun.com/site/data/html_dir/2018/07/18/2018071801822.html,"물류 업계 관계자
6 월 30 일
합의
택배 기사 개별 사업자
개별 사업자 자기
몇 시
몇 건
수 며
회사 노사
통해 사업자",000120,2018-07-18
SK·GS의 공유경제 실험…'주유소 택배' 첫 선,http://biz.chosun.com/site/data/html_dir/2018/07/16/2018071602437.html,"장소
대표 홈픽
안 집
택배 확보
확보 픽업
픽업 전문
차량
알 수
홈픽 서비스
이명희 SK 에너지",000120,2018-07-16
"文 대통령, '한·인도 포럼'에서 양국 기업인 만나",http://biz.chosun.com/site/data/html_dir/2018/07/09/2018070900787.html,"포럼 한국
한국 측
박용만 대한 상의
대한 상의 회장
외 정 진행
대표이사 , 안승
이재혁 롯데 그룹
롯데 그룹 식품 BU
식품 BU 부회장 ,
부회장 , 김형국",000120,2018-07-09
문 대통령 인도 방문에 100여개사 동행,http://biz.chosun.com/site/data/html_dir/2018/07/05/2018070500484.html,"박용만
박용만 대한 상의
대한 상의 회장
회장
사절단 윤 부근
대표이사 , 안승
이재혁 롯데 그룹
롯데 그룹 식품 BU
식품 BU 부회장 ,
부회장 , 김형국",000120,2018-07-05
"박근태 CJ대한통운 사장, 中 길림성장 만나 협력 논의",http://biz.chosun.com/site/data/html_dir/2018/06/26/2018062600629.html,"징 성장
성장 길림성
길림성 기존
기존 농업
농업 공업
공업 대표
대표 산업
산업 지역
지역 최근
최근 남북 ,",000120,2018-06-26
[업종돋보기] 배달료 받는 교촌치킨·마켓컬리…꿈쩍 않던 택배료도 오르나,http://biz.chosun.com/site/data/html_dir/2018/06/18/2018061802376.html,"그 치킨
치킨 프랜차이즈
프랜차이즈 교촌치킨
교촌치킨 치킨
치킨 배달
고객
고객 배달 료
것 ,
것 , 식료품
식료품 쇼핑몰",000120,2018-06-19
"CJ대한통운, 美 DSC 2314억원에 인수…북미 물류시장 진출 본격화",http://biz.chosun.com/site/data/html_dir/2018/06/08/2018060800655.html,"등 통해
미국 주요
대형 다국적
W & D ; 분야
글로벌 물류
물류 중심
중심 미국
미국 시장
시장 확대
확대 본격",000120,2018-06-08
주유소의 변신…앱 결제·태양광 발전·택배 접수까지,http://biz.chosun.com/site/data/html_dir/2018/06/04/2018060401326.html,"집 근처
근처 주유소
주유소 택배
주유소 고객
3 월
전국 SK
주유소 실시간
실시간 택배
카 커머스
커머스 솔루션 의",000120,2018-06-04
'年 23억 상자' 택배 시장…CJ대한통운 독주 체제,http://biz.chosun.com/site/data/html_dir/2018/05/31/2018053101943.html,"지난 28 일
통해 택배
택배 제품
제품 품종
품종 소형
간의 경쟁
경쟁 심화
점차
며 택배
시장 업체",000120,2018-05-31
"CJ대한통운, 소방청과 안전사회 실현 위한 MOU 체결",http://biz.chosun.com/site/data/html_dir/2018/05/31/2018053101620.html,"국민
사장 일상
서비스
택배
택배 인프라
인프라 소방청
소방청 전문성
여건
기여 수
앞 회사",000120,2018-05-31
"CJ대한통운, 부부 택배기사 100쌍 초청 영화관람",http://biz.chosun.com/site/data/html_dir/2018/05/20/2018052002435.html,"사장 이번
이번 행사
행사 통해
가족 및
다시
의미
것 며
며 앞
앞 일과
일과 가정",000120,2018-05-20
"CJ대한통운, 인천공항에 아이허브 아시아권역 국제물류센터 유치",http://biz.chosun.com/site/data/html_dir/2018/05/17/2018051701995.html,"해외 직구
이번 인천
투자 결정
결정 통해
통해 아시아
지역 물류
물류 운영
전문 인력 고품 질의
고품 질의 건강
상품 대한",000120,2018-05-17
"CJ대한통운, 북방물류사업 가속화…中 선양에 대규모 물류센터 열어",http://biz.chosun.com/site/data/html_dir/2018/05/15/2018051501609.html,"3 성 지역
사장 중국 ,
중국 , 러시아 ,
몽골 등
요지 동북
지역 선제
투자 통한
통한 현지
네트워크 확대 ,
확대 , TCR ,",000120,2018-05-15
"CJ대한통운, 중국횡단철도 이용한 국제복합운송 개시… '북방물류' 가속화",http://biz.chosun.com/site/data/html_dir/2018/05/01/2018050100932.html,"네트워크 활성화
활성화 통해
도모 , 우리나라
우리나라 동북아시아
동북아시아 물류 허브
물류 허브 도약
도약 수
국제
서비스 첨단
대비 비용",000120,2018-05-01
"\남북 해빙무드로 CJ대한통운·글로비스 등 운송株도 주목\"" - 신한""",http://biz.chosun.com/site/data/html_dir/2018/04/30/2018043000855.html,"물류 인프라
박광
CJ 대한 통운 북한
북한
인수 및
가지 며
며 향후
위해 그
남한
인프라 수준",000120,2018-04-30
"7만원짜리 북한 땅 가진 'CJ대한통운'…\북방물류 상징\""""",http://biz.chosun.com/site/data/html_dir/2018/04/26/2018042602619.html,"수 고
관계자 과거
주변 화물 취급 소
화물 취급 소 물류 창고
물류 창고 확보
확보
면서
7 만 1000 원 ( 과거 시세
시세 추 정치 )
추 정치 ) 상당",000120,2018-04-27
'한·러 기업협의회' 첫 전체회의...경제협력사업 본격 추진,http://biz.chosun.com/site/data/html_dir/2018/04/04/2018040400926.html,"특별 고문 ( 민주당 의원 ),
박근태
경제 상호 보완
상호 보완 경제 구조
경제 구조 통해
통해
무한
역할 해나
해나 것
박근태 CJ 대한 통운",000120,2018-04-04
"\주유소를 택배 거점으로\""…손잡은 SK에너지·CJ대한통운""",http://biz.chosun.com/site/data/html_dir/2018/03/27/2018032702549.html,"서비스 오프라인
SK 에너지 관계자
고객 관리
관리 및
차량 정보
정보 솔루션
솔루션 제공 ,
차량 용 충전 시설
충전 시설 구축 ,
연 통한",000120,2018-03-27
"\CJ대한통운, 예상보다 큰 최저임금 인상에 목표주가 하향\"" - 유진""",http://biz.chosun.com/site/data/html_dir/2018/03/27/2018032700439.html,"방민진 연구원
연구원 최저
임금 인상
단기
단기 곤지암
곤지암 허브
허브 터미널
터미널 가동
가동
절감 효과",000120,2018-03-27
손경식 CJ 회장 “글로벌 사업 매진하겠다”,http://biz.chosun.com/site/data/html_dir/2018/03/26/2018032601585.html,"날 서울
서울 동대문
동대문 본사
본사
CJ 제일제당 정기 주주총회
정기 주주총회 인사말
인사말 통해
통해 경영
경영 주요
주요 기조",000120,2018-03-26
"CJ대한통운, 베트남 태풍 이재민 지원 양곡 1만톤 운송 성공적으로 마쳐",http://biz.chosun.com/site/data/html_dir/2018/03/23/2018032301802.html,"1 위 민간
물류
베트남 1 위
CJ 대한 통운 관계자
관계자 베트남
종합 물류 기업인 CJ 제마뎁
CJ 제마뎁 통해
통해 현지
현지 진출
물류 서비스",000120,2018-03-23
"CJ대한통운, 러시아 페스코와 손잡고 북방물류 시장 개척",http://biz.chosun.com/site/data/html_dir/2018/03/18/2018031800671.html,"대표 러시아
러시아 통한
물류 시장
유럽
물류 루트
루트 개발
개발 통해
통해 차별
차별 물류
아시아 넘버원",000120,2018-03-18
"CJ그룹, 주총 분산 개최·전자투표제 도입…주주권리 강화 노력",http://biz.chosun.com/site/data/html_dir/2018/02/22/2018022201183.html,"분산 개최
CJ 그룹 관계자
관계자 이번
주주총회 활성화
활성화 및
주주 권익
향후 전자 투표제
도입 확대
확대 등
주주 가치",000120,2018-02-22
"CJ대한통운, 국내 최대 3718톤 해양유전개발 크레인 하역 성공",http://biz.chosun.com/site/data/html_dir/2018/02/11/2018021100598.html,"CJ 대한 통운 ( 000120 ) 은 지난
지난 3 ~ 7 일
도입 크레인
크레인 최대
최대 규모
규모 영국
메인 데크
데크 크레인
크레인 하역
11 일",000120,2018-02-11
"CJ대한통운, 지난해 4분기 영업익 600억…전년보다 8.7% 증가",http://biz.chosun.com/site/data/html_dir/2018/02/08/2018020801105.html,"CJ 대한 통운 ( 000120 ) 은 지난해
지난해 4 분기
매출 액
전년
기간
7 % ,
8 억원 기록
기록 적자
5 %
8 일",000120,2018-02-08
"[설 2018] 물류업계, 설 명절 '배송전쟁' 앞두고 비상체제 가동",http://biz.chosun.com/site/data/html_dir/2018/02/04/2018020400799.html,"물량 전년
전년 대비
가량 증가
등 국내
국내 주요
업체 연중
일제
업체 올해
약 20 %
위해 자동 분류 장비",000120,2018-02-05
"\CJ대한통운, 4분기 실적 기대치 하회...목표주가 22만→ 19만\"" - 한투""",http://biz.chosun.com/site/data/html_dir/2018/01/23/2018012300647.html,"기대 부응
부응 못
최고 운
한국 투자 증권 연구원
주가 4 분기
4 분기 이후
이후 17 %
17 % 하락 며
하락 며 수익 성은
수익 성은 계속",000120,2018-01-23
"이재현 '그레이트 CJ' 본격 시동, 올해 M&A; 속도낸다",http://biz.chosun.com/site/data/html_dir/2018/01/04/2018010402766.html,"회장 경영
CJ 그룹 관계자
글로벌 M & A ;
경영 복귀
복귀 후
후 주요
계 열사 점검
점검 현장
현장 시찰
시찰 등",000120,2018-01-05
"CJ제일제당, 냉동면 가정간편식 시장 진출",http://biz.chosun.com/site/data/html_dir/2018/10/29/2018102903087.html,"파괴
일본 마찬가지
단시간 안
대한 수요
것 보고
반죽 만
만 번
번 이상
이상 치 대고
치 대고 숙성",097950,2018-10-29
이재현 회장은 왜 '40년 삼성맨'을 CJ 공동대표로 발탁했나?,http://biz.chosun.com/site/data/html_dir/2018/10/23/2018102301150.html,"시장 1 위
1 위 기록
기록 등
12 명 배출
배출
등 그룹
달성 경영
3 개 이상
이상 사업
사업 세계",097950,2018-10-23
CJ주식회사 공동대표에 삼성 출신 박근희 부회장,http://biz.chosun.com/site/data/html_dir/2018/10/23/2018102300713.html,"CGV 신임
CJ 주식회사 공동 대표이사
기본 원칙
초 격차 역량
역량 기반
기반 독보
독보 1 등
1 등 달성
달성 글로벌
글로벌 가속",097950,2018-10-23
떡볶이부터 스테이크까지...외식물가도 뛴다,http://biz.chosun.com/site/data/html_dir/2018/10/22/2018102201673.html,"관계자 연초
코카콜라 , 해태제과
해태제과 등
것 지금
지금 소비자
소비자 체감
체감 것 라며
것 라며 식품 업계
식품 업계 가격 인상
다변 마케팅",097950,2018-10-22
미쉐린 2019 발표에 시끌...명단 유출에 평가방식 논란까지,http://biz.chosun.com/site/data/html_dir/2018/10/22/2018102201094.html,"앞서
직접 지은
지은 밥
밥 대신
측은 요식업
요식업 10 년
10 년 이상
평가 요원 알리
알리
국적",097950,2018-10-22
"CJ제일제당 \미국 식품업체 쉬완스컴퍼니 인수 추진\""""",http://biz.chosun.com/site/data/html_dir/2018/10/19/2018101902521.html,"CJ 제일제당 ( 097950 ) 은 쉬완스 컴퍼니 ( Schwan ' s
쉬완스 컴퍼니 ( Schwan ' s Company )
Company ) 인수
인수 추진
추진 대한
대한 한국 거래소
한국 거래소 조회 공시
조회 공시 요구
요구 해외
해외 식품 사업",097950,2018-10-19
가온·라연 미쉐린 별 3개...평가 공정성 논란도,http://biz.chosun.com/site/data/html_dir/2018/10/18/2018101802289.html,"웬달
웬달 뽈리넥시
뽈리넥시 미쉐린
가이드 인터내셔널
인터내셔널 디렉터
디렉터 날
날 그랜드
서울 미쉐린
경우 재능
재능 때로는",097950,2018-10-18
"농심·CJ 우동은 '나트륨 폭탄', 콜라·사이다는 '당 덩어리'",http://biz.chosun.com/site/data/html_dir/2018/10/17/2018101701772.html,"제품 경우
식약처 식품
식품 구매
구매 때
때 반드시
반드시 영양성분
영양성분 표시
표시
스프 반
것 고",097950,2018-10-17
"CJ그룹 장남 이선호씨, 이다희 전 아나운서와 결혼",http://biz.chosun.com/site/data/html_dir/2018/10/08/2018100802742.html,"결혼식 이
손경 회장
부부 , 장녀
장녀 경후
경후 CJ
CJ ENM
ENM 상무
상무 부부
친척 10 여명
10 여명 소규모",097950,2018-10-08
"CJ제일제당, 美 식품업체 '쉬완스컴퍼니' 인수설에 \결정된 건 없어\""""",http://biz.chosun.com/site/data/html_dir/2018/10/05/2018100503073.html,"CJ 제일제당 측은
측은 당사
당사 현재
현재 해외
해외 식품
식품 사업
사업 경쟁력
경쟁력 강화
강화 일환
일환 검토",097950,2018-10-05
"쌀값 급등, 즉석밥 값도 오르나...CJ·오뚜기 “이미 올려, 추가 인상 없다”",http://biz.chosun.com/site/data/html_dir/2018/10/03/2018100301434.html,"쌀값 지난해
통상 식품 업체
식품 업체 ' 장바구니
' 장바구니 물가 ' 와
물가 ' 와 직결
직결 제품
제품 값
등 외부
것 달리
눈총",097950,2018-10-03
"[비즈톡톡] CJ제일제당의 '미슐랭 식당' 우오, 솥밥 대신 햇반 제공 논란",http://biz.chosun.com/site/data/html_dir/2018/09/17/2018091700588.html,"직접 지은
기업
기업 마케팅
마케팅 전문가
다수
다수 소비자
소비자 각인
각인 이미지
이미지 싱글 족
싱글 족 업무",097950,2018-09-17
